# Created from running fit_sim_data_1.py with the --optimize_trna_charging_kinetics option, on Sat Sep 10 22:12:55 2022.
"synthetase_id"	"sweep_level"	"iteration"	"objective"	"k_cat (1/units.s)"	"K_M_amino_acid (units.umol/units.L)"	"K_M_trna"	"f_free"	"f_free_at_min"
"ALAS-CPLX[c]"	2	1	7.42631819162781e-07	9509.849035167632	1275.4321317913277	{"alaT-tRNA[c]": 561.8003496433743, "alaU-tRNA[c]": 561.8003496433743, "alaV-tRNA[c]": 561.8003496433743, "alaW-tRNA[c]": 106.04874193765447, "alaX-tRNA[c]": 106.04874193765447}	{"alaT-tRNA[c]__basal": 0.20350683544839582, "alaU-tRNA[c]__basal": 0.20350683544839582, "alaV-tRNA[c]__basal": 0.20350683544839582, "alaW-tRNA[c]__basal": 0.21193394884679453, "alaX-tRNA[c]__basal": 0.21193394884679453, "alaT-tRNA[c]__with_aa": 0.19108660852535742, "alaU-tRNA[c]__with_aa": 0.19108660852535742, "alaV-tRNA[c]__with_aa": 0.19108660852535742, "alaW-tRNA[c]__with_aa": 0.2060806726765861, "alaX-tRNA[c]__with_aa": 0.2060806726765861}	{"alaT-tRNA[c]__basal": 0.807731911765333, "alaU-tRNA[c]__basal": 0.807731911765333, "alaV-tRNA[c]__basal": 0.807731911765333, "alaW-tRNA[c]__basal": 0.8411267883444368, "alaX-tRNA[c]__basal": 0.8411267883444368, "alaT-tRNA[c]__with_aa": 0.7955847255670285, "alaU-tRNA[c]__with_aa": 0.7955847255670285, "alaV-tRNA[c]__with_aa": 0.7955847255670285, "alaW-tRNA[c]__with_aa": 0.8579840634901127, "alaX-tRNA[c]__with_aa": 0.8579840634901127}
"ALAS-CPLX[c]"	2	3	3.0733231111342576e-07	2653.3679054882223	800.4197684640269	{"alaT-tRNA[c]": 179.7664222157351, "alaU-tRNA[c]": 179.7664222157351, "alaV-tRNA[c]": 179.7664222157351, "alaW-tRNA[c]": 31.640159746208315, "alaX-tRNA[c]": 31.640159746208315}	{"alaT-tRNA[c]__basal": 0.19108716017411356, "alaU-tRNA[c]__basal": 0.19108716017411356, "alaV-tRNA[c]__basal": 0.19108716017411356, "alaW-tRNA[c]__basal": 0.18555837133292766, "alaX-tRNA[c]__basal": 0.18555837133292766, "alaT-tRNA[c]__with_aa": 0.19483863888113556, "alaU-tRNA[c]__with_aa": 0.19483863888113556, "alaV-tRNA[c]__with_aa": 0.19483863888113556, "alaW-tRNA[c]__with_aa": 0.19592087504236472, "alaX-tRNA[c]__with_aa": 0.19592087504236472}	{"alaT-tRNA[c]__basal": 0.8108138953894305, "alaU-tRNA[c]__basal": 0.8108138953894305, "alaV-tRNA[c]__basal": 0.8108138953894305, "alaW-tRNA[c]__basal": 0.7872942922590087, "alaX-tRNA[c]__basal": 0.7872942922590087, "alaT-tRNA[c]__with_aa": 0.8912309084660045, "alaU-tRNA[c]__with_aa": 0.8912309084660045, "alaV-tRNA[c]__with_aa": 0.8912309084660045, "alaW-tRNA[c]__with_aa": 0.8962112980119501, "alaX-tRNA[c]__with_aa": 0.8962112980119501}
"ALAS-CPLX[c]"	2	4	2.845951263958715e-07	790.0188030301287	214.67759305310685	{"alaT-tRNA[c]": 22.101510609852966, "alaU-tRNA[c]": 22.101510609852966, "alaV-tRNA[c]": 22.101510609852966, "alaW-tRNA[c]": 6.539231448101015, "alaX-tRNA[c]": 6.539231448101015}	{"alaT-tRNA[c]__basal": 0.057335809781080535, "alaU-tRNA[c]__basal": 0.057335809781080535, "alaV-tRNA[c]__basal": 0.057335809781080535, "alaW-tRNA[c]__basal": 0.09358678308358565, "alaX-tRNA[c]__basal": 0.09358678308358565, "alaT-tRNA[c]__with_aa": 0.06992054035400766, "alaU-tRNA[c]__with_aa": 0.06992054035400766, "alaV-tRNA[c]__with_aa": 0.06992054035400766, "alaW-tRNA[c]__with_aa": 0.11819353981597991, "alaX-tRNA[c]__with_aa": 0.11819353981597991}	{"alaT-tRNA[c]__basal": 0.2864720954208583, "alaU-tRNA[c]__basal": 0.2864720954208583, "alaV-tRNA[c]__basal": 0.2864720954208583, "alaW-tRNA[c]__basal": 0.46761065132767576, "alaX-tRNA[c]__basal": 0.46761065132767576, "alaT-tRNA[c]__with_aa": 0.441745330712752, "alaU-tRNA[c]__with_aa": 0.441745330712752, "alaV-tRNA[c]__with_aa": 0.441745330712752, "alaW-tRNA[c]__with_aa": 0.7467285905423523, "alaX-tRNA[c]__with_aa": 0.7467285905423523}
"ALAS-CPLX[c]"	2	5	1.432549186780479e-07	1178.917993949806	1189.6833612126054	{"alaT-tRNA[c]": 43.8324508729, "alaU-tRNA[c]": 43.8324508729, "alaV-tRNA[c]": 43.8324508729, "alaW-tRNA[c]": 8.646833104290781, "alaX-tRNA[c]": 8.646833104290781}	{"alaT-tRNA[c]__basal": 0.1338032168532886, "alaU-tRNA[c]__basal": 0.1338032168532886, "alaV-tRNA[c]__basal": 0.1338032168532886, "alaW-tRNA[c]__basal": 0.1456161688427637, "alaX-tRNA[c]__basal": 0.1456161688427637, "alaT-tRNA[c]__with_aa": 0.12898262588642723, "alaU-tRNA[c]__with_aa": 0.12898262588642723, "alaV-tRNA[c]__with_aa": 0.12898262588642723, "alaW-tRNA[c]__with_aa": 0.14536362066356176, "alaX-tRNA[c]__with_aa": 0.14536362066356176}	{"alaT-tRNA[c]__basal": 0.7060885086606011, "alaU-tRNA[c]__basal": 0.7060885086606011, "alaV-tRNA[c]__basal": 0.7060885086606011, "alaW-tRNA[c]__basal": 0.7684425643130153, "alaX-tRNA[c]__basal": 0.7684425643130153, "alaT-tRNA[c]__with_aa": 0.7831021398251405, "alaU-tRNA[c]__with_aa": 0.7831021398251405, "alaV-tRNA[c]__with_aa": 0.7831021398251405, "alaW-tRNA[c]__with_aa": 0.882586212727776, "alaX-tRNA[c]__with_aa": 0.882586212727776}
"ALAS-CPLX[c]"	2	7	2.3112714330360042e-07	2418.8011547705373	1123.9785723443126	{"alaT-tRNA[c]": 117.21298130076612, "alaU-tRNA[c]": 117.21298130076612, "alaV-tRNA[c]": 117.21298130076612, "alaW-tRNA[c]": 25.188011080819727, "alaX-tRNA[c]": 25.188011080819727}	{"alaT-tRNA[c]__basal": 0.16127881109452585, "alaU-tRNA[c]__basal": 0.16127881109452585, "alaV-tRNA[c]__basal": 0.16127881109452585, "alaW-tRNA[c]__basal": 0.1912035015209768, "alaX-tRNA[c]__basal": 0.1912035015209768, "alaT-tRNA[c]__with_aa": 0.15563554406657096, "alaU-tRNA[c]__with_aa": 0.15563554406657096, "alaV-tRNA[c]__with_aa": 0.15563554406657096, "alaW-tRNA[c]__with_aa": 0.1910717834184576, "alaX-tRNA[c]__with_aa": 0.1910717834184576}	{"alaT-tRNA[c]__basal": 0.7060611320933237, "alaU-tRNA[c]__basal": 0.7060611320933237, "alaV-tRNA[c]__basal": 0.7060611320933237, "alaW-tRNA[c]__basal": 0.8370793492243074, "alaX-tRNA[c]__basal": 0.8370793492243074, "alaT-tRNA[c]__with_aa": 0.7357109185728442, "alaU-tRNA[c]__with_aa": 0.7357109185728442, "alaV-tRNA[c]__with_aa": 0.7357109185728442, "alaW-tRNA[c]__with_aa": 0.9032170688746779, "alaX-tRNA[c]__with_aa": 0.9032170688746779}
"ALAS-CPLX[c]"	2	8	2.418897444010158e-07	2244.3126720769237	1405.2139976151632	{"alaT-tRNA[c]": 116.43877221991256, "alaU-tRNA[c]": 116.43877221991256, "alaV-tRNA[c]": 116.43877221991256, "alaW-tRNA[c]": 20.360631366310788, "alaX-tRNA[c]": 20.360631366310788}	{"alaT-tRNA[c]__basal": 0.1961621121492877, "alaU-tRNA[c]__basal": 0.1961621121492877, "alaV-tRNA[c]__basal": 0.1961621121492877, "alaW-tRNA[c]__basal": 0.18923352170282526, "alaX-tRNA[c]__basal": 0.18923352170282526, "alaT-tRNA[c]__with_aa": 0.1821681472723805, "alaU-tRNA[c]__with_aa": 0.1821681472723805, "alaV-tRNA[c]__with_aa": 0.1821681472723805, "alaW-tRNA[c]__with_aa": 0.1819901804390556, "alaX-tRNA[c]__with_aa": 0.1819901804390556}	{"alaT-tRNA[c]__basal": 0.8865939298399039, "alaU-tRNA[c]__basal": 0.8865939298399039, "alaV-tRNA[c]__basal": 0.8865939298399039, "alaW-tRNA[c]__basal": 0.8552672184337367, "alaX-tRNA[c]__basal": 0.8552672184337367, "alaT-tRNA[c]__with_aa": 0.8900080749886251, "alaU-tRNA[c]__with_aa": 0.8900080749886251, "alaV-tRNA[c]__with_aa": 0.8900080749886251, "alaW-tRNA[c]__with_aa": 0.8891290013064563, "alaX-tRNA[c]__with_aa": 0.8891290013064563}
"ALAS-CPLX[c]"	2	11	2.437378981228721e-07	2855.3338820684903	1518.9171867661225	{"alaT-tRNA[c]": 131.42682754283257, "alaU-tRNA[c]": 131.42682754283257, "alaV-tRNA[c]": 131.42682754283257, "alaW-tRNA[c]": 26.192539123331226, "alaX-tRNA[c]": 26.192539123331226}	{"alaT-tRNA[c]__basal": 0.18018516834454815, "alaU-tRNA[c]__basal": 0.18018516834454815, "alaV-tRNA[c]__basal": 0.18018516834454815, "alaW-tRNA[c]__basal": 0.19809897520895847, "alaX-tRNA[c]__basal": 0.19809897520895847, "alaT-tRNA[c]__with_aa": 0.16477611394562858, "alaU-tRNA[c]__with_aa": 0.16477611394562858, "alaV-tRNA[c]__with_aa": 0.16477611394562858, "alaW-tRNA[c]__with_aa": 0.18761642716987637, "alaX-tRNA[c]__with_aa": 0.18761642716987637}	{"alaT-tRNA[c]__basal": 0.7883947830530663, "alaU-tRNA[c]__basal": 0.7883947830530663, "alaV-tRNA[c]__basal": 0.7883947830530663, "alaW-tRNA[c]__basal": 0.8668483243212869, "alaX-tRNA[c]__basal": 0.8668483243212869, "alaT-tRNA[c]__with_aa": 0.7710789811275239, "alaU-tRNA[c]__with_aa": 0.7710789811275239, "alaV-tRNA[c]__with_aa": 0.7710789811275239, "alaW-tRNA[c]__with_aa": 0.8779801214716212, "alaX-tRNA[c]__with_aa": 0.8779801214716212}
"ALAS-CPLX[c]"	2	12	2.088441657955717e-07	2389.132179514775	1707.1912657195971	{"alaT-tRNA[c]": 102.64903710241201, "alaU-tRNA[c]": 102.64903710241201, "alaV-tRNA[c]": 102.64903710241201, "alaW-tRNA[c]": 19.320175692177063, "alaX-tRNA[c]": 19.320175692177063}	{"alaT-tRNA[c]__basal": 0.18241337675316296, "alaU-tRNA[c]__basal": 0.18241337675316296, "alaV-tRNA[c]__basal": 0.18241337675316296, "alaW-tRNA[c]__basal": 0.1894065175491649, "alaX-tRNA[c]__basal": 0.1894065175491649, "alaT-tRNA[c]__with_aa": 0.1635543804710299, "alaU-tRNA[c]__with_aa": 0.1635543804710299, "alaV-tRNA[c]__with_aa": 0.1635543804710299, "alaW-tRNA[c]__with_aa": 0.17586725991977264, "alaX-tRNA[c]__with_aa": 0.17586725991977264}	{"alaT-tRNA[c]__basal": 0.8324779535510881, "alaU-tRNA[c]__basal": 0.8324779535510881, "alaV-tRNA[c]__basal": 0.8324779535510881, "alaW-tRNA[c]__basal": 0.8644260001453599, "alaX-tRNA[c]__basal": 0.8644260001453599, "alaT-tRNA[c]__with_aa": 0.8023664836712912, "alaU-tRNA[c]__with_aa": 0.8023664836712912, "alaV-tRNA[c]__with_aa": 0.8023664836712912, "alaW-tRNA[c]__with_aa": 0.8627829077850144, "alaX-tRNA[c]__with_aa": 0.8627829077850144}
"ALAS-CPLX[c]"	2	13	1.6573643100460976e-07	883.9468507169488	736.1820050492055	{"alaT-tRNA[c]": 32.91603573109205, "alaU-tRNA[c]": 32.91603573109205, "alaV-tRNA[c]": 32.91603573109205, "alaW-tRNA[c]": 6.977120562929237, "alaX-tRNA[c]": 6.977120562929237}	{"alaT-tRNA[c]__basal": 0.10838118486232197, "alaU-tRNA[c]__basal": 0.10838118486232197, "alaV-tRNA[c]__basal": 0.10838118486232197, "alaW-tRNA[c]__basal": 0.12674152742228284, "alaX-tRNA[c]__basal": 0.12674152742228284, "alaT-tRNA[c]__with_aa": 0.1140932436181517, "alaU-tRNA[c]__with_aa": 0.1140932436181517, "alaV-tRNA[c]__with_aa": 0.1140932436181517, "alaW-tRNA[c]__with_aa": 0.13816600865782008, "alaX-tRNA[c]__with_aa": 0.13816600865782008}	{"alaT-tRNA[c]__basal": 0.5893368369115517, "alaU-tRNA[c]__basal": 0.5893368369115517, "alaV-tRNA[c]__basal": 0.5893368369115517, "alaW-tRNA[c]__basal": 0.6891616310033025, "alaX-tRNA[c]__basal": 0.6891616310033025, "alaT-tRNA[c]__with_aa": 0.7630931652537593, "alaU-tRNA[c]__with_aa": 0.7630931652537593, "alaV-tRNA[c]__with_aa": 0.7630931652537593, "alaW-tRNA[c]__with_aa": 0.9241067628886371, "alaX-tRNA[c]__with_aa": 0.9241067628886371}
"ALAS-CPLX[c]"	2	14	2.561226133798178e-07	1799.9826502851668	21.329740096329967	{"alaT-tRNA[c]": 142.9765442404041, "alaU-tRNA[c]": 142.9765442404041, "alaV-tRNA[c]": 142.9765442404041, "alaW-tRNA[c]": 15.73668001508478, "alaX-tRNA[c]": 15.73668001508478}	{"alaT-tRNA[c]__basal": 0.13239342460915526, "alaU-tRNA[c]__basal": 0.13239342460915526, "alaV-tRNA[c]__basal": 0.13239342460915526, "alaW-tRNA[c]__basal": 0.08039039548362342, "alaX-tRNA[c]__basal": 0.08039039548362342, "alaT-tRNA[c]__with_aa": 0.17041444174126572, "alaU-tRNA[c]__with_aa": 0.17041444174126572, "alaV-tRNA[c]__with_aa": 0.17041444174126572, "alaW-tRNA[c]__with_aa": 0.10716018261785926, "alaX-tRNA[c]__with_aa": 0.10716018261785926}	{"alaT-tRNA[c]__basal": 0.5542551521796867, "alaU-tRNA[c]__basal": 0.5542551521796867, "alaV-tRNA[c]__basal": 0.5542551521796867, "alaW-tRNA[c]__basal": 0.3365496178504371, "alaX-tRNA[c]__basal": 0.3365496178504371, "alaT-tRNA[c]__with_aa": 0.7908507604136007, "alaU-tRNA[c]__with_aa": 0.7908507604136007, "alaV-tRNA[c]__with_aa": 0.7908507604136007, "alaW-tRNA[c]__with_aa": 0.49730398958113875, "alaX-tRNA[c]__with_aa": 0.49730398958113875}
